CB,MnO2,copss11,copss31
50,0,0.060040542,0.040715166
50,40,0.016076621,0.025257436
50,90,0.001699031,0.011311542
60,30,0.03623191,0.013406813
60,60,0.012040376,0.006393871
60,80,0.020242289,0.01855521
70,20,0.04195331,0.022154804
70,40,0.027639016,0.015936948
70,60,0.021226353,0.011294575
80,10,0.03423092,
80,40,0.032620748,0.013014764
80,80,0.012064659,0.008125201
90,40,0.027269591,0.024474719
90,90,0.01663844,0.02055043
100,10,,0.014587672
100,50,0.005117916,0.012682479
100,80,0.017678363,0.020008117
